2025-01-27 12:34:36,522 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 12:34:36,523 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 12:34:36,525 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 12:34:36,534 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 12:34:36,536 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 12:34:43,989 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-27 12:34:43,989 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.6.1-x86_64-i386-64bit-Mach-O
2025-01-27 12:34:43,990 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 12:34:51,336 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 12:35:05,930 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 12:35:08,906 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-27 12:37:03,362 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-27 12:40:28,946 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 12:40:28,946 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 12:40:28,949 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 12:40:28,951 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 12:40:28,953 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 12:40:32,623 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 12:45:39,948 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 12:45:39,949 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 12:45:39,950 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 12:45:39,952 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 12:45:39,954 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 12:45:43,735 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 12:45:47,026 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-27 12:55:02,676 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-27 12:57:16,543 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 12:57:16,544 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 12:57:16,545 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 12:57:16,546 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 12:57:16,548 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 12:57:20,496 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 12:57:23,072 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-27 12:59:47,057 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-27 13:00:19,165 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 13:00:19,165 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 13:00:19,167 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 13:00:19,168 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 13:00:19,169 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 13:00:22,236 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 13:00:26,990 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-27 13:17:07,395 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-27 13:17:27,459 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 13:17:27,459 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 13:17:27,460 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 13:17:27,462 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 13:17:27,464 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 13:17:31,408 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 13:17:34,056 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-27 14:38:03,485 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-27 14:50:27,269 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-27 14:50:27,271 | MainThread   | [INFO    ] | <module>            |: info
2025-01-27 14:50:27,272 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-27 14:50:27,273 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-27 14:50:27,275 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-27 14:50:31,552 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-27 14:50:34,567 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-27 15:24:10,004 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 14:11:38,639 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 14:11:38,640 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 14:11:38,643 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 14:11:38,645 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 14:11:38,648 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 14:11:46,374 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-28 14:11:46,375 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.6.1-x86_64-i386-64bit-Mach-O
2025-01-28 14:11:46,376 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:12:02,734 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:12:06,084 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 14:25:15,924 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 14:25:15,925 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 14:25:15,926 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 14:25:15,927 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 14:25:15,930 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 14:25:19,674 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-28 14:27:33,270 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 14:27:49,665 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:27:52,535 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 14:30:59,632 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 14:34:13,806 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 14:34:13,808 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 14:34:13,816 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 14:34:13,818 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 14:34:13,820 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 14:34:17,408 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:34:19,948 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
